[Mon Feb 27 01:39:39.193381 2017] [:error] [pid 19326] [client 127.0.0.1:58037] PHP Warning:  filesize(): stat failed for /home/vidok/sites/ogame.zz/public../../upload/img_0002.jpg in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 298, referer: http://ogame.zz/entities
[Mon Feb 27 01:39:39.193443 2017] [:error] [pid 19326] [client 127.0.0.1:58037] PHP Warning:  unlink(/home/vidok/sites/ogame.zz/public../../upload/img_0002.jpg): No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1103, referer: http://ogame.zz/entities
[Mon Feb 27 01:45:48.415112 2017] [:error] [pid 6847] [client 127.0.0.1:58044] PHP Warning:  move_uploaded_file(/home/vidok/sites/ogame.zz/module/Entities/upload/img_0001.jpg): failed to open stream: Permission denied in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1084, referer: http://ogame.zz/entities
[Mon Feb 27 01:45:48.415170 2017] [:error] [pid 6847] [client 127.0.0.1:58044] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php3saZpd' to '/home/vidok/sites/ogame.zz/module/Entities/upload/img_0001.jpg' in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1084, referer: http://ogame.zz/entities
[Mon Feb 27 01:45:48.415191 2017] [:error] [pid 6847] [client 127.0.0.1:58044] PHP Warning:  filesize(): stat failed for /home/vidok/sites/ogame.zz/module/Entities/upload/img_0001.jpg in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 298, referer: http://ogame.zz/entities
[Mon Feb 27 01:45:48.415215 2017] [:error] [pid 6847] [client 127.0.0.1:58044] PHP Warning:  unlink(/home/vidok/sites/ogame.zz/module/Entities/upload/img_0001.jpg): No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1103, referer: http://ogame.zz/entities
[Mon Feb 27 01:47:13.554649 2017] [:error] [pid 6846] [client 127.0.0.1:58049] PHP Catchable fatal error:  Object of class Entities\\Classes\\UploadHandler could not be converted to string in /home/vidok/sites/ogame.zz/module/Entities/src/Controller/TechLoadController.php on line 21, referer: http://ogame.zz/entities
[Mon Feb 27 10:26:00.085993 2017] [:error] [pid 26058] [client 127.0.0.1:58273] PHP Warning:  filesize(): stat failed for /home/vidok/sites/ogame.zz/module/Entities../../upload/img_0001.jpg in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 298, referer: http://ogame.zz/entities
[Mon Feb 27 10:26:00.099796 2017] [:error] [pid 26058] [client 127.0.0.1:58273] PHP Warning:  unlink(/home/vidok/sites/ogame.zz/module/Entities../../upload/img_0001.jpg): No such file or directory in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1103, referer: http://ogame.zz/entities
[Mon Feb 27 10:29:10.355138 2017] [:error] [pid 26060] [client 127.0.0.1:58280] PHP Warning:  mkdir(): File exists in /home/vidok/sites/ogame.zz/module/Entities/src/Classes/UploadHandler.php on line 1070, referer: http://ogame.zz/entities
